metric,value
format,MoonSimRockfieldAnalysis
source_crater_figure.source_crater_counts.967,11
source_crater_figure.source_crater_counts.968,11
source_crater_figure.source_crater_counts.970,20
source_crater_figure.source_crater_counts.983,37
source_crater_figure.source_crater_counts.985,72
source_crater_figure.source_crater_counts.987,141
source_crater_figure.source_crater_counts.1016,24
source_crater_figure.source_crater_counts.1021,21
source_crater_figure.source_crater_counts.1028,15
source_crater_figure.source_crater_counts.1033,39
source_crater_figure.source_crater_counts.1042,544
source_crater_figure.source_crater_counts.1047,22
source_crater_figure.source_crater_counts.1061,11
source_crater_figure.source_crater_counts.1072,17
source_crater_figure.source_crater_counts.1080,11
source_crater_figure.source_crater_counts.1082,18
source_crater_figure.source_crater_counts.1085,42
source_crater_figure.source_crater_counts.1093,22
source_crater_figure.source_crater_counts.1124,16
source_crater_figure.source_crater_counts.1145,11
source_crater_figure.source_crater_counts.1160,86
source_crater_figure.source_crater_counts.1164,15
source_crater_figure.source_crater_counts.1173,20
source_crater_figure.source_crater_counts.1182,25
source_crater_figure.source_crater_counts.1183,16
source_crater_figure.source_crater_counts.1206,13
source_crater_figure.source_crater_counts.1220,15
source_crater_figure.source_crater_counts.1224,14
source_crater_figure.source_crater_counts.1235,16
source_crater_figure.source_crater_counts.1245,133
source_crater_figure.source_crater_counts.1260,16
source_crater_figure.source_crater_counts.1266,17
source_crater_figure.source_crater_counts.1267,13
source_crater_figure.source_crater_counts.1271,22
source_crater_figure.source_crater_counts.1273,33
source_crater_figure.source_crater_counts.1278,42
source_crater_figure.source_crater_counts.1279,541
source_crater_figure.source_crater_counts.1283,27
source_crater_figure.source_crater_counts.1284,3229
source_crater_figure.source_crater_counts.1286,17
source_crater_figure.source_crater_counts.1290,24
source_crater_figure.source_crater_counts.1312,13
