metric,value
format,MoonSimRockfieldAnalysis
rocks.owned_rocks_by_source_crater.411,2
rocks.owned_rocks_by_source_crater.412,2
rocks.owned_rocks_by_source_crater.415,2
rocks.owned_rocks_by_source_crater.416,1
rocks.owned_rocks_by_source_crater.418,4
rocks.owned_rocks_by_source_crater.421,8
rocks.owned_rocks_by_source_crater.425,1
rocks.owned_rocks_by_source_crater.426,2
rocks.owned_rocks_by_source_crater.428,2
rocks.owned_rocks_by_source_crater.429,2
rocks.owned_rocks_by_source_crater.432,2
rocks.owned_rocks_by_source_crater.436,2
rocks.owned_rocks_by_source_crater.437,2
rocks.owned_rocks_by_source_crater.441,2
rocks.owned_rocks_by_source_crater.443,3
rocks.owned_rocks_by_source_crater.444,2
rocks.owned_rocks_by_source_crater.445,2
rocks.owned_rocks_by_source_crater.448,3
rocks.owned_rocks_by_source_crater.450,2
rocks.owned_rocks_by_source_crater.451,4
rocks.owned_rocks_by_source_crater.453,2
rocks.owned_rocks_by_source_crater.455,2
rocks.owned_rocks_by_source_crater.457,3
rocks.owned_rocks_by_source_crater.460,2
rocks.owned_rocks_by_source_crater.463,18
rocks.owned_rocks_by_source_crater.467,2
rocks.owned_rocks_by_source_crater.468,2
rocks.owned_rocks_by_source_crater.469,2
rocks.owned_rocks_by_source_crater.473,2
rocks.owned_rocks_by_source_crater.474,4
rocks.owned_rocks_by_source_crater.477,2
rocks.owned_rocks_by_source_crater.478,2
rocks.owned_rocks_by_source_crater.479,2
rocks.owned_rocks_by_source_crater.480,2
rocks.owned_rocks_by_source_crater.481,2
rocks.owned_rocks_by_source_crater.485,2
rocks.owned_rocks_by_source_crater.487,6
rocks.owned_rocks_by_source_crater.490,5
rocks.owned_rocks_by_source_crater.491,15
rocks.owned_rocks_by_source_crater.492,4
rocks.owned_rocks_by_source_crater.495,2
rocks.owned_rocks_by_source_crater.496,2
rocks.owned_rocks_by_source_crater.498,2
rocks.owned_rocks_by_source_crater.503,2
rocks.owned_rocks_by_source_crater.505,7
rocks.owned_rocks_by_source_crater.507,2
rocks.owned_rocks_by_source_crater.509,2
rocks.owned_rocks_by_source_crater.511,2
rocks.owned_rocks_by_source_crater.514,2
rocks.owned_rocks_by_source_crater.518,2
rocks.owned_rocks_by_source_crater.519,15
rocks.owned_rocks_by_source_crater.520,2
rocks.owned_rocks_by_source_crater.521,2
rocks.owned_rocks_by_source_crater.522,2
rocks.owned_rocks_by_source_crater.525,2
rocks.owned_rocks_by_source_crater.526,3
rocks.owned_rocks_by_source_crater.527,2
rocks.owned_rocks_by_source_crater.529,3
rocks.owned_rocks_by_source_crater.530,6
rocks.owned_rocks_by_source_crater.531,7
rocks.owned_rocks_by_source_crater.532,2
rocks.owned_rocks_by_source_crater.533,2
rocks.owned_rocks_by_source_crater.536,2
rocks.owned_rocks_by_source_crater.537,3
rocks.owned_rocks_by_source_crater.538,4
rocks.owned_rocks_by_source_crater.539,2
rocks.owned_rocks_by_source_crater.541,2
rocks.owned_rocks_by_source_crater.546,12
rocks.owned_rocks_by_source_crater.549,2
rocks.owned_rocks_by_source_crater.551,2
rocks.owned_rocks_by_source_crater.554,3
rocks.owned_rocks_by_source_crater.556,9
rocks.owned_rocks_by_source_crater.561,2
rocks.owned_rocks_by_source_crater.563,2
rocks.owned_rocks_by_source_crater.564,2
rocks.owned_rocks_by_source_crater.567,2
rocks.owned_rocks_by_source_crater.571,4
rocks.owned_rocks_by_source_crater.572,2
rocks.owned_rocks_by_source_crater.573,4
rocks.owned_rocks_by_source_crater.577,2
rocks.owned_rocks_by_source_crater.579,3
rocks.owned_rocks_by_source_crater.580,9
rocks.owned_rocks_by_source_crater.583,3
rocks.owned_rocks_by_source_crater.585,2
rocks.owned_rocks_by_source_crater.594,2
rocks.owned_rocks_by_source_crater.595,2
rocks.owned_rocks_by_source_crater.596,2
rocks.owned_rocks_by_source_crater.598,54
rocks.owned_rocks_by_source_crater.600,3
rocks.owned_rocks_by_source_crater.602,3
rocks.owned_rocks_by_source_crater.604,3
rocks.owned_rocks_by_source_crater.611,2
rocks.owned_rocks_by_source_crater.613,4
rocks.owned_rocks_by_source_crater.614,2
rocks.owned_rocks_by_source_crater.618,2
rocks.owned_rocks_by_source_crater.619,2
rocks.owned_rocks_by_source_crater.620,2
rocks.owned_rocks_by_source_crater.623,2
rocks.owned_rocks_by_source_crater.624,3
rocks.owned_rocks_by_source_crater.625,2
rocks.owned_rocks_by_source_crater.627,2
rocks.owned_rocks_by_source_crater.628,2
rocks.owned_rocks_by_source_crater.629,6
rocks.owned_rocks_by_source_crater.631,2
rocks.owned_rocks_by_source_crater.632,2
rocks.owned_rocks_by_source_crater.633,2
rocks.owned_rocks_by_source_crater.635,2
rocks.owned_rocks_by_source_crater.637,2
rocks.owned_rocks_by_source_crater.640,2
rocks.owned_rocks_by_source_crater.641,2
rocks.owned_rocks_by_source_crater.643,2
rocks.owned_rocks_by_source_crater.644,3
rocks.owned_rocks_by_source_crater.645,3
rocks.owned_rocks_by_source_crater.647,8
rocks.owned_rocks_by_source_crater.648,2
rocks.owned_rocks_by_source_crater.649,2
rocks.owned_rocks_by_source_crater.653,3
rocks.owned_rocks_by_source_crater.654,10
rocks.owned_rocks_by_source_crater.656,3
rocks.owned_rocks_by_source_crater.657,2
rocks.owned_rocks_by_source_crater.659,2
rocks.owned_rocks_by_source_crater.660,2
rocks.owned_rocks_by_source_crater.661,4
rocks.owned_rocks_by_source_crater.662,3
rocks.owned_rocks_by_source_crater.663,2
rocks.owned_rocks_by_source_crater.664,2
rocks.owned_rocks_by_source_crater.665,2
rocks.owned_rocks_by_source_crater.666,3
rocks.owned_rocks_by_source_crater.667,9
rocks.owned_rocks_by_source_crater.670,2
rocks.owned_rocks_by_source_crater.671,3
rocks.owned_rocks_by_source_crater.674,15
rocks.owned_rocks_by_source_crater.676,2
rocks.owned_rocks_by_source_crater.682,2
rocks.owned_rocks_by_source_crater.684,3
rocks.owned_rocks_by_source_crater.686,12
rocks.owned_rocks_by_source_crater.688,2
rocks.owned_rocks_by_source_crater.689,2
rocks.owned_rocks_by_source_crater.690,6
rocks.owned_rocks_by_source_crater.692,4
rocks.owned_rocks_by_source_crater.694,2
rocks.owned_rocks_by_source_crater.695,3
rocks.owned_rocks_by_source_crater.702,2
rocks.owned_rocks_by_source_crater.705,16
rocks.owned_rocks_by_source_crater.706,3
rocks.owned_rocks_by_source_crater.707,2
rocks.owned_rocks_by_source_crater.708,3
rocks.owned_rocks_by_source_crater.714,4
rocks.owned_rocks_by_source_crater.717,2
