metric,value
format,MoonSimRockfieldAnalysis
spatial.nearest_neighbor_distance_m.range,22.1356138806582
spatial.nearest_neighbor_distance_m.mean,3.23070150003066
spatial.nearest_neighbor_distance_m.median,2.219373848967673
spatial.nearest_neighbor_distance_m.std,2.976424695640619
spatial.nearest_neighbor_distance_m.p05,0.4039743863209226
spatial.nearest_neighbor_distance_m.p25,1.0919911222387144
spatial.nearest_neighbor_distance_m.p75,4.4713509272267284
spatial.nearest_neighbor_distance_m.p95,9.410435744101434
spatial.nearest_neighbor_distance_m.p99,13.542071268898884
spatial.poisson_expected_mean_nearest_neighbor_m,4.050741434552238
spatial.clark_evans_r,0.7975580649194846
spatial.clark_evans_interpretation,clustered
spatial.quadrat_bins,32
spatial.quadrat_mean_count,3.7197265625
spatial.quadrat_variance_count,40.1315361910435
spatial.quadrat_index_of_dispersion,10.788840393706629
source_crater_distance.normalized_radius.min,0.11171752296972219
source_crater_distance.normalized_radius.max,3.951742951778979
source_crater_distance.normalized_radius.range,3.840025428809257
source_crater_distance.normalized_radius.mean,1.2552563128406
source_crater_distance.normalized_radius.median,1.1273968543311907
source_crater_distance.normalized_radius.std,0.4903434282223777
source_crater_distance.normalized_radius.p05,0.765623327333855
source_crater_distance.normalized_radius.p25,0.915620661244745
source_crater_distance.normalized_radius.p75,1.467623855952656
source_crater_distance.normalized_radius.p95,2.193474787602579
source_crater_distance.normalized_radius.p99,2.9895450914638184
craters.catalog_count,593
crater_zone_settings.source,rock settings: rock_settings.json
crater_zone_settings.values.interior_r_min,0.3
crater_zone_settings.values.interior_r_max,0.8
crater_zone_settings.values.rim_r_min,0.85
crater_zone_settings.values.rim_r_max,1.15
crater_zone_settings.values.proximal_r_min,1.15
crater_zone_settings.values.proximal_r_max,2.25
crater_zone_settings.values.distal_r_min,2.25
crater_zone_settings.values.distal_r_max,4.0
crater_zone_settings.values.min_source_crater_diameter_meters,3.0
source_crater_figure.minimum_source_crater_diameter_m,5.0
source_crater_figure.selected_crater_owned_rock_count,2587
source_crater_figure.source_crater_counts.2,3
source_crater_figure.source_crater_counts.5,3
source_crater_figure.source_crater_counts.18,1
source_crater_figure.source_crater_counts.31,1
source_crater_figure.source_crater_counts.39,121
source_crater_figure.source_crater_counts.42,5
source_crater_figure.source_crater_counts.45,3
source_crater_figure.source_crater_counts.49,4
source_crater_figure.source_crater_counts.53,2
source_crater_figure.source_crater_counts.62,1
source_crater_figure.source_crater_counts.70,7
source_crater_figure.source_crater_counts.75,2
source_crater_figure.source_crater_counts.80,1
source_crater_figure.source_crater_counts.96,6
source_crater_figure.source_crater_counts.101,3
source_crater_figure.source_crater_counts.102,1
source_crater_figure.source_crater_counts.103,3
source_crater_figure.source_crater_counts.109,1
source_crater_figure.source_crater_counts.128,1
source_crater_figure.source_crater_counts.129,1
source_crater_figure.source_crater_counts.130,1
source_crater_figure.source_crater_counts.133,1
source_crater_figure.source_crater_counts.139,1
source_crater_figure.source_crater_counts.142,1
source_crater_figure.source_crater_counts.152,2
source_crater_figure.source_crater_counts.157,10
source_crater_figure.source_crater_counts.159,14
source_crater_figure.source_crater_counts.160,1
source_crater_figure.source_crater_counts.161,1
source_crater_figure.source_crater_counts.164,8
source_crater_figure.source_crater_counts.166,6
source_crater_figure.source_crater_counts.173,1
source_crater_figure.source_crater_counts.176,2
source_crater_figure.source_crater_counts.177,6
source_crater_figure.source_crater_counts.184,1
source_crater_figure.source_crater_counts.188,1
source_crater_figure.source_crater_counts.190,4
source_crater_figure.source_crater_counts.194,3
source_crater_figure.source_crater_counts.199,9
source_crater_figure.source_crater_counts.203,37
source_crater_figure.source_crater_counts.210,9
source_crater_figure.source_crater_counts.215,43
source_crater_figure.source_crater_counts.218,3
source_crater_figure.source_crater_counts.228,4
source_crater_figure.source_crater_counts.233,53
source_crater_figure.source_crater_counts.237,3
source_crater_figure.source_crater_counts.242,5
source_crater_figure.source_crater_counts.247,1
source_crater_figure.source_crater_counts.249,4
source_crater_figure.source_crater_counts.251,119
source_crater_figure.source_crater_counts.255,2
source_crater_figure.source_crater_counts.261,1
source_crater_figure.source_crater_counts.265,12
source_crater_figure.source_crater_counts.268,27
source_crater_figure.source_crater_counts.272,1
source_crater_figure.source_crater_counts.279,2
source_crater_figure.source_crater_counts.282,7
source_crater_figure.source_crater_counts.283,1
source_crater_figure.source_crater_counts.284,3
source_crater_figure.source_crater_counts.285,10
source_crater_figure.source_crater_counts.287,10
source_crater_figure.source_crater_counts.289,1
source_crater_figure.source_crater_counts.297,3
source_crater_figure.source_crater_counts.298,8
source_crater_figure.source_crater_counts.303,1
source_crater_figure.source_crater_counts.304,2
source_crater_figure.source_crater_counts.312,21
source_crater_figure.source_crater_counts.314,1
source_crater_figure.source_crater_counts.320,300
source_crater_figure.source_crater_counts.322,3
source_crater_figure.source_crater_counts.326,4
source_crater_figure.source_crater_counts.328,21
source_crater_figure.source_crater_counts.329,2
source_crater_figure.source_crater_counts.331,6
source_crater_figure.source_crater_counts.335,300
source_crater_figure.source_crater_counts.347,2
source_crater_figure.source_crater_counts.356,1
source_crater_figure.source_crater_counts.357,2
source_crater_figure.source_crater_counts.361,1
source_crater_figure.source_crater_counts.362,1
source_crater_figure.source_crater_counts.363,8
source_crater_figure.source_crater_counts.367,1
source_crater_figure.source_crater_counts.368,2
